studentid	taskid	raw_sessionsatis	zscore_sessionsatis	meanannoscore
2014012173	1	4	-0.650944554904	53.1673556258
2014012173	2	4	-0.650944554904	69.7372127317
2014012173	3	4	-0.650944554904	74.4039378444
2014012173	4	5	0.911322376866	88.0130449728
2014012173	5	5	0.911322376866	86.6666020552
2014012173	6	3	-2.21321148667	73.2408310776
2014012173	7	5	0.911322376866	84.5552606646
2014012173	8	5	0.911322376866	89.7648541458
2014012173	9	5	0.911322376866	91.4708292811
2014012173	10	5	0.911322376866	89.7648541458
2014012173	11	4	-0.650944554904	71.8027200846
2014012173	12	4	-0.650944554904	89.7648541458
2014013072	1	5	1.43207802079	78.0450583035
2014013072	2	4	-0.130188910981	74.9468062129
2014013072	3	4	-0.130188910981	83.208817747
2014013072	4	4	-0.130188910981	83.1629837093
2014013072	5	3	-1.69245584275	80.1563996941
2014013072	6	4	-0.130188910981	80.4700978741
2014013072	7	5	1.43207802079	88.0130449728
2014013072	8	4	-0.130188910981	80.1105656564
2014013072	9	5	1.43207802079	90.0785523258
2014013072	10	4	-0.130188910981	88.0588790105
2014013072	11	3	-1.69245584275	88.4184112282
2014013072	12	4	-0.130188910981	81.8623748294
2014013076	1	5	1.20740685989	76.2932491305
2014013076	2	4	-0.10976425999	86.6666020552
2014013076	3	3	-1.42693537987	90.1243863635
2014013076	4	3	-1.42693537987	81.770706754
2014013076	5	5	1.20740685989	73.6003632953
2014013076	6	3	-1.42693537987	81.5028426117
2014013076	7	5	1.20740685989	76.2015810551
2014013076	8	5	1.20740685989	80.0647316187
2014013076	9	4	-0.10976425999	85.5971829364
2014013076	10	4	-0.10976425999	88.0130449728
2014013076	11	4	-0.10976425999	93.222638454
2014013076	12	4	-0.10976425999	91.8761955365
2013013014	1	5	1.5666989036	69.7830467694
2013013014	2	2	-1.5666989036	73.1491630022
2013013014	3	2	-1.5666989036	84.9147928822
2013013014	4	4	0.522232967867	75.2605043929
2013013014	5	4	0.522232967867	85.3201591377
2013013014	6	3	-0.522232967867	84.6010947023
2013013014	7	5	1.5666989036	86.6207680175
2013013014	8	3	-0.522232967867	83.6141840024
2013013014	9	4	0.522232967867	84.9147928822
2013013014	10	4	0.522232967867	83.208817747
2013013014	11	3	-0.522232967867	84.951463688
2013013014	12	3	-0.522232967867	74.9468062129
2013011103	1	4	0.650944554904	42.6565005879
2013011103	2	2	-2.47358930864	63.4948745129
2013011103	3	4	0.650944554904	51.5072145283
2013011103	4	4	0.650944554904	79.705199401
2013011103	5	4	0.650944554904	73.5545292576
2013011103	6	3	-0.911322376866	73.2408310776
2013011103	7	3	-0.911322376866	83.208817747
2013011103	8	4	0.650944554904	81.8623748294
2013011103	9	3	-0.911322376866	89.7648541458
